+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                       description                                                                                                        |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Vandalism took place at 12:04. No known witnesses.                                                                                                                                                                       |
| Shoplifting took place at 03:01. Two people witnessed the event.                                                                                                                                                         |
| Theft of the CS50 duck took place at 10:15am at the Humphrey Street bakery. Interviews were conducted today with three witnesses who were present at the time – each of their interview transcripts mentions the bakery. |
| Money laundering took place at 20:30. No known witnesses.                                                                                                                                                                |
| Littering took place at 16:36. No known witnesses.                                                                                                                                                                       |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                                                                     transcript                                                                                                                                                      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Sometime within ten minutes of the theft, I saw the thief get into a car in the bakery parking lot and drive away. If you have security footage from the bakery parking lot, you might want to look for cars that left the parking lot in that time frame.                                                          |
| I don't know the thief's name, but it was someone I recognized. Earlier this morning, before I arrived at Emma's bakery, I was walking by the ATM on Leggett Street and saw the thief there withdrawing some money.                                                                                                 |
| As the thief was leaving the bakery, they called someone who talked to them for less than a minute. In the call, I heard the thief say that they were planning to take the earliest flight out of Fiftyville tomorrow. The thief then asked the person on the other end of the phone to purchase the flight ticket. |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
+----------+---------------+---------+
| activity | license_plate |  name   |
+----------+---------------+---------+
| exit     | 5P2BI95       | Vanessa |
| exit     | 94KL13X       | Bruce   |
| exit     | 6P58WS2       | Barry   |
| exit     | 4328GD8       | Luca    |
| exit     | G412CB7       | Sofia   |
| exit     | L93JTIZ       | Iman    |
| exit     | 322W7JE       | Diana   |
| exit     | 0NTHK55       | Kelsey  |
+----------+---------------+---------+
+---------+------------------+
|  name   | transaction_type |
+---------+------------------+
| Bruce   | withdraw         |
| Diana   | withdraw         |
| Brooke  | withdraw         |
| Kenny   | withdraw         |
| Iman    | withdraw         |
| Luca    | withdraw         |
| Taylor  | withdraw         |
| Benista | withdraw         |
+---------+------------------+
+----------------+----------------+
|     caller     |    receiver    |
+----------------+----------------+
| (130) 555-0289 | (996) 555-8899 |
| (499) 555-9472 | (892) 555-8872 |
| (367) 555-5533 | (375) 555-8161 |
| (499) 555-9472 | (717) 555-1342 |
| (286) 555-6063 | (676) 555-6554 |
| (770) 555-1861 | (725) 555-3243 |
| (031) 555-6622 | (910) 555-3251 |
| (826) 555-1652 | (066) 555-9701 |
| (338) 555-6650 | (704) 555-2131 |
+----------------+----------------+
+-------------+----------------+----------------+----------------+
|    name     |  phone_number  |     caller     |    receiver    |
+-------------+----------------+----------------+----------------+
| Pamela      | (113) 555-7544 | (113) 555-7544 | (035) 555-2997 |
| Pamela      | (113) 555-7544 | (113) 555-7544 | (336) 555-0077 |
| Pamela      | (113) 555-7544 | (113) 555-7544 | (801) 555-8906 |
| Jordan      | (328) 555-9658 | (328) 555-9658 | (502) 555-6712 |
| Jordan      | (328) 555-9658 | (328) 555-9658 | (775) 555-7584 |
| Jordan      | (328) 555-9658 | (328) 555-9658 | (826) 555-1652 |
| Heather     | (502) 555-6712 | (502) 555-6712 | (594) 555-2863 |
| Heather     | (502) 555-6712 | (502) 555-6712 | (959) 555-4871 |
| Heather     | (502) 555-6712 | (502) 555-6712 | (998) 555-1979 |
| Vanessa     | (725) 555-4692 | (725) 555-4692 | (604) 555-0153 |
| Vanessa     | (725) 555-4692 | (725) 555-4692 | (821) 555-5262 |
| Vanessa     | (725) 555-4692 | (725) 555-4692 | (962) 555-5827 |
| Ronald      | (321) 555-6083 | (321) 555-6083 | (704) 555-2131 |
| Ronald      | (321) 555-6083 | (321) 555-6083 | (829) 555-5269 |
| Sean        | (867) 555-9103 | (867) 555-9103 | (068) 555-0183 |
| Sean        | (867) 555-9103 | (867) 555-9103 | (209) 555-7806 |
| Sean        | (867) 555-9103 | (867) 555-9103 | (704) 555-2131 |
| Aaron       | (420) 555-5821 | (420) 555-5821 | (338) 555-6650 |
| Aaron       | (420) 555-5821 | (420) 555-5821 | (771) 555-6667 |
| Aaron       | (420) 555-5821 | (420) 555-5821 | (772) 555-5770 |
| Ernest      | (789) 555-8833 | (789) 555-8833 | (031) 555-9915 |
| Ernest      | (789) 555-8833 | (789) 555-8833 | (873) 555-3868 |
| Ernest      | (789) 555-8833 | (789) 555-8833 | (960) 555-2044 |
| Karen       | (841) 555-3728 | (841) 555-3728 | (260) 555-0610 |
| Karen       | (841) 555-3728 | (841) 555-3728 | (356) 555-6641 |
| Karen       | (841) 555-3728 | (841) 555-3728 | (604) 555-0153 |
| Margaret    | (068) 555-0183 | (068) 555-0183 | (751) 555-6567 |
| Margaret    | (068) 555-0183 | (068) 555-0183 | (770) 555-1861 |
| Margaret    | (068) 555-0183 | (068) 555-0183 | (996) 555-8899 |
| Gabriel     | (243) 555-7229 | (243) 555-7229 | (016) 555-9166 |
| Gabriel     | (243) 555-7229 | (243) 555-7229 | (770) 555-1196 |
| Gabriel     | (243) 555-7229 | (243) 555-7229 | (829) 555-5269 |
| Louis       | (749) 555-4874 | (749) 555-4874 | (098) 555-1164 |
| Louis       | (749) 555-4874 | (749) 555-4874 | (492) 555-5484 |
| Louis       | (749) 555-4874 | (749) 555-4874 | (636) 555-4198 |
| Barry       | (301) 555-4174 | (301) 555-4174 | (394) 555-3247 |
| Barry       | (301) 555-4174 | (301) 555-4174 | (711) 555-3007 |
